"Order ID";"Order Date";"Ship Date";"Ship Mode"
"CA-2017-101343";"17/07/2017";"22/07/2017";"Standard Class"
"CA-2018-139619";"19/09/2018";"23/09/2018";"Standard Class"
"CA-2017-118255";"11/3/17";"13/03/2017";"First Class"
"CA-2017-118255";"11/3/17";"13/03/2017";"First Class"
"CA-2015-146703";"20/10/2015";"25/10/2015";"Second Class"
"CA-2017-169194";"20/06/2017";"25/06/2017";"Standard Class"
"CA-2017-169194";"20/06/2017";"25/06/2017";"Standard Class"
"CA-2016-115742";"18/04/2016";"22/04/2016";"Standard Class"
"CA-2016-115742";"18/04/2016";"22/04/2016";"Standard Class"
"CA-2016-115742";"18/04/2016";"22/04/2016";"Standard Class"
"CA-2016-115742";"18/04/2016";"22/04/2016";"Standard Class"
"CA-2017-105816";"11/12/17";"17/12/2017";"Standard Class"
"CA-2017-105816";"11/12/17";"17/12/2017";"Standard Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2017-111682";"17/06/2017";"18/06/2017";"First Class"
"CA-2016-135545";"24/11/2016";"30/11/2016";"Standard Class"
"CA-2016-135545";"24/11/2016";"30/11/2016";"Standard Class"
"CA-2016-135545";"24/11/2016";"30/11/2016";"Standard Class"
"CA-2016-135545";"24/11/2016";"30/11/2016";"Standard Class"
"US-2016-164175";"30/04/2016";"5/5/16";"Standard Class"
"CA-2015-106376";"5/12/15";"10/12/15";"Standard Class"
"CA-2015-106376";"5/12/15";"10/12/15";"Standard Class"
"CA-2017-119823";"4/6/17";"6/6/17";"First Class"
"CA-2017-106075";"18/09/2017";"23/09/2017";"Standard Class"
"CA-2018-114440";"14/09/2018";"17/09/2018";"Second Class"
"US-2016-134026";"26/04/2016";"2/5/16";"Standard Class"
"US-2016-134026";"26/04/2016";"2/5/16";"Standard Class"
"US-2016-134026";"26/04/2016";"2/5/16";"Standard Class"
"US-2018-118038";"9/12/18";"11/12/18";"First Class"
"US-2018-118038";"9/12/18";"11/12/18";"First Class"
"US-2018-118038";"9/12/18";"11/12/18";"First Class"
"US-2015-147606";"26/11/2015";"1/12/15";"Second Class"
"CA-2017-127208";"12/6/17";"15/06/2017";"First Class"
"CA-2017-127208";"12/6/17";"15/06/2017";"First Class"
"CA-2015-139451";"12/10/15";"16/10/2015";"Standard Class"
"CA-2015-139451";"12/10/15";"16/10/2015";"Standard Class"
"CA-2016-149734";"3/9/16";"8/9/16";"Standard Class"
"US-2018-119662";"13/11/2018";"16/11/2018";"First Class"
"CA-2018-140088";"28/05/2018";"30/05/2018";"Second Class"
"CA-2018-155558";"26/10/2018";"2/11/18";"Standard Class"
"CA-2018-155558";"26/10/2018";"2/11/18";"Standard Class"
"CA-2017-159695";"5/4/17";"10/4/17";"Second Class"
"CA-2017-109806";"17/09/2017";"22/09/2017";"Standard Class"
"CA-2017-109806";"17/09/2017";"22/09/2017";"Standard Class"
"CA-2017-109806";"17/09/2017";"22/09/2017";"Standard Class"
"CA-2016-149587";"31/01/2016";"5/2/16";"Second Class"
"CA-2016-149587";"31/01/2016";"5/2/16";"Second Class"
"CA-2016-149587";"31/01/2016";"5/2/16";"Second Class"
"US-2018-109484";"6/11/18";"12/11/18";"Standard Class"
"CA-2018-161018";"9/11/18";"11/11/18";"Second Class"
"CA-2018-157833";"17/06/2018";"20/06/2018";"First Class"
"CA-2017-149223";"6/9/17";"11/9/17";"Standard Class"
"CA-2017-158568";"29/08/2017";"2/9/17";"Standard Class"
"CA-2017-158568";"29/08/2017";"2/9/17";"Standard Class"
"CA-2017-158568";"29/08/2017";"2/9/17";"Standard Class"
"CA-2017-129903";"1/12/17";"4/12/17";"Second Class"
"US-2016-156867";"13/11/2016";"17/11/2016";"Standard Class"
"US-2016-156867";"13/11/2016";"17/11/2016";"Standard Class"
"US-2016-156867";"13/11/2016";"17/11/2016";"Standard Class"
"CA-2018-119004";"23/11/2018";"28/11/2018";"Standard Class"
"CA-2018-119004";"23/11/2018";"28/11/2018";"Standard Class"
"CA-2018-119004";"23/11/2018";"28/11/2018";"Standard Class"
"CA-2016-129476";"15/10/2016";"20/10/2016";"Standard Class"
"CA-2018-146780";"25/12/2018";"30/12/2018";"Standard Class"
"CA-2017-128867";"3/11/17";"10/11/17";"Standard Class"
"CA-2017-128867";"3/11/17";"10/11/17";"Standard Class"
"CA-2015-115259";"25/08/2015";"27/08/2015";"Second Class"
"CA-2015-115259";"25/08/2015";"27/08/2015";"Second Class"
"CA-2015-115259";"25/08/2015";"27/08/2015";"Second Class"
"CA-2015-115259";"25/08/2015";"27/08/2015";"Second Class"
"CA-2016-110457";"2/3/16";"6/3/16";"Standard Class"
"US-2016-136476";"5/4/16";"10/4/16";"Standard Class"
"CA-2017-103730";"12/6/17";"15/06/2017";"First Class"
"CA-2017-103730";"12/6/17";"15/06/2017";"First Class"
"CA-2017-103730";"12/6/17";"15/06/2017";"First Class"
"CA-2017-103730";"12/6/17";"15/06/2017";"First Class"
"CA-2017-103730";"12/6/17";"15/06/2017";"First Class"
"US-2015-152030";"26/12/2015";"28/12/2015";"Second Class"
"US-2015-134614";"20/09/2015";"25/09/2015";"Standard Class"
"US-2018-107272";"5/11/18";"12/11/18";"Standard Class"
"US-2018-107272";"5/11/18";"12/11/18";"Standard Class"
"US-2017-125969";"6/11/17";"10/11/17";"Second Class"
"US-2017-125969";"6/11/17";"10/11/17";"Second Class"
"US-2018-164147";"2/2/18";"5/2/18";"First Class"
"US-2018-164147";"2/2/18";"5/2/18";"First Class"
"US-2018-164147";"2/2/18";"5/2/18";"First Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-145583";"13/10/2017";"19/10/2017";"Standard Class"
"CA-2017-110366";"5/9/17";"7/9/17";"Second Class"
"CA-2018-106180";"18/09/2018";"23/09/2018";"Standard Class"
"CA-2018-106180";"18/09/2018";"23/09/2018";"Standard Class"
"CA-2018-106180";"18/09/2018";"23/09/2018";"Standard Class"
"CA-2018-155376";"22/12/2018";"27/12/2018";"Standard Class"
"CA-2016-110744";"7/9/16";"12/9/16";"Standard Class"
"CA-2015-110072";"22/10/2015";"28/10/2015";"Standard Class"
"CA-2017-114489";"5/12/17";"9/12/17";"Standard Class"
"CA-2017-114489";"5/12/17";"9/12/17";"Standard Class"
"CA-2017-114489";"5/12/17";"9/12/17";"Standard Class"
"CA-2017-114489";"5/12/17";"9/12/17";"Standard Class"
"CA-2017-158834";"13/03/2017";"16/03/2017";"First Class"
"CA-2017-158834";"13/03/2017";"16/03/2017";"First Class"
"CA-2016-124919";"31/05/2016";"2/6/16";"First Class"
"CA-2016-124919";"31/05/2016";"2/6/16";"First Class"
"CA-2016-124919";"31/05/2016";"2/6/16";"First Class"
"CA-2016-118948";"28/05/2016";"3/6/16";"Standard Class"
"CA-2015-104269";"1/3/15";"6/3/15";"Second Class"
"CA-2017-114104";"20/11/2017";"24/11/2017";"Standard Class"
"CA-2017-114104";"20/11/2017";"24/11/2017";"Standard Class"
"CA-2017-162733";"11/5/17";"12/5/17";"First Class"
"CA-2016-119697";"28/12/2016";"31/12/2016";"Second Class"
"CA-2017-154508";"16/11/2017";"20/11/2017";"Standard Class"
"CA-2017-113817";"7/11/17";"11/11/17";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-139892";"8/9/15";"12/9/15";"Standard Class"
"CA-2015-118962";"5/8/15";"9/8/15";"Standard Class"
"CA-2015-118962";"5/8/15";"9/8/15";"Standard Class"
"CA-2015-118962";"5/8/15";"9/8/15";"Standard Class"
"US-2015-100853";"14/09/2015";"19/09/2015";"Standard Class"
"US-2015-100853";"14/09/2015";"19/09/2015";"Standard Class"
"US-2018-152366";"21/04/2018";"25/04/2018";"Second Class"
"US-2016-101511";"21/11/2016";"23/11/2016";"Second Class"
"US-2016-101511";"21/11/2016";"23/11/2016";"Second Class"
"CA-2016-137225";"15/12/2016";"19/12/2016";"Standard Class"
"CA-2015-166191";"5/12/15";"9/12/15";"Second Class"
"CA-2015-166191";"5/12/15";"9/12/15";"Second Class"
"CA-2015-158274";"19/11/2015";"24/11/2015";"Second Class"
"CA-2015-158274";"19/11/2015";"24/11/2015";"Second Class"
"CA-2015-158274";"19/11/2015";"24/11/2015";"Second Class"
"CA-2017-105018";"28/11/2017";"2/12/17";"Standard Class"
"CA-2015-123260";"26/08/2015";"30/08/2015";"Standard Class"
"CA-2017-157000";"16/07/2017";"22/07/2017";"Standard Class"
"CA-2017-157000";"16/07/2017";"22/07/2017";"Standard Class"
"CA-2016-102281";"12/10/16";"14/10/2016";"First Class"
"CA-2016-102281";"12/10/16";"14/10/2016";"First Class"
"CA-2016-102281";"12/10/16";"14/10/2016";"First Class"
"CA-2016-102281";"12/10/16";"14/10/2016";"First Class"
"CA-2016-102281";"12/10/16";"14/10/2016";"First Class"
"CA-2016-131457";"31/10/2016";"6/11/16";"Standard Class"
"CA-2015-140004";"21/03/2015";"25/03/2015";"Standard Class"
"CA-2015-140004";"21/03/2015";"25/03/2015";"Standard Class"
"CA-2018-107720";"6/11/18";"13/11/2018";"Standard Class"
"US-2018-124303";"6/7/18";"13/07/2018";"Standard Class"
"US-2018-124303";"6/7/18";"13/07/2018";"Standard Class"
"CA-2018-105074";"24/06/2018";"29/06/2018";"Standard Class"
"CA-2015-133690";"3/8/15";"5/8/15";"First Class"
"CA-2015-133690";"3/8/15";"5/8/15";"First Class"
"US-2018-116701";"17/12/2018";"21/12/2018";"Second Class"
"CA-2018-126382";"3/6/18";"7/6/18";"Standard Class"
"CA-2018-108329";"9/12/18";"14/12/2018";"Standard Class"
"CA-2018-135860";"1/12/18";"7/12/18";"Standard Class"
"CA-2018-135860";"1/12/18";"7/12/18";"Standard Class"
"CA-2018-135860";"1/12/18";"7/12/18";"Standard Class"
"CA-2018-135860";"1/12/18";"7/12/18";"Standard Class"
"CA-2018-135860";"1/12/18";"7/12/18";"Standard Class"
"CA-2016-101007";"9/2/16";"13/02/2016";"Second Class"
"CA-2016-146262";"2/1/16";"9/1/16";"Standard Class"
"CA-2016-146262";"2/1/16";"9/1/16";"Standard Class"
"CA-2016-146262";"2/1/16";"9/1/16";"Standard Class"
"CA-2016-146262";"2/1/16";"9/1/16";"Standard Class"
"CA-2016-146262";"2/1/16";"9/1/16";"Standard Class"
"CA-2017-130162";"28/10/2017";"1/11/17";"Standard Class"
"CA-2017-130162";"28/10/2017";"1/11/17";"Standard Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-169397";"24/12/2016";"27/12/2016";"First Class"
"CA-2016-163055";"9/8/16";"16/08/2016";"Standard Class"
"CA-2016-163055";"9/8/16";"16/08/2016";"Standard Class"
"CA-2016-163055";"9/8/16";"16/08/2016";"Standard Class"
"US-2016-145436";"28/02/2016";"4/3/16";"Standard Class"
"US-2016-145436";"28/02/2016";"4/3/16";"Standard Class"
"US-2015-156216";"13/09/2015";"17/09/2015";"Standard Class"
"US-2018-100930";"7/4/18";"12/4/18";"Standard Class"
"US-2018-100930";"7/4/18";"12/4/18";"Standard Class"
"US-2018-100930";"7/4/18";"12/4/18";"Standard Class"
"US-2018-100930";"7/4/18";"12/4/18";"Standard Class"
"US-2018-100930";"7/4/18";"12/4/18";"Standard Class"
"CA-2018-160514";"12/11/18";"16/11/2018";"Standard Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2017-157749";"4/6/17";"9/6/17";"Second Class"
"CA-2015-131926";"1/6/15";"6/6/15";"Second Class"
"CA-2015-131926";"1/6/15";"6/6/15";"Second Class"
"CA-2015-131926";"1/6/15";"6/6/15";"Second Class"
"CA-2015-131926";"1/6/15";"6/6/15";"Second Class"
"CA-2015-131926";"1/6/15";"6/6/15";"Second Class"
"CA-2017-154739";"10/12/17";"15/12/2017";"Second Class"
"CA-2017-145625";"11/9/17";"17/09/2017";"Standard Class"
"CA-2017-145625";"11/9/17";"17/09/2017";"Standard Class"
"CA-2017-146941";"10/12/17";"13/12/2017";"First Class"
"CA-2017-146941";"10/12/17";"13/12/2017";"First Class"
"US-2016-159982";"28/11/2016";"4/12/16";"Standard Class"
"US-2016-159982";"28/11/2016";"4/12/16";"Standard Class"
"US-2016-159982";"28/11/2016";"4/12/16";"Standard Class"
"US-2016-159982";"28/11/2016";"4/12/16";"Standard Class"
"CA-2018-163139";"1/12/18";"3/12/18";"Second Class"
"CA-2018-163139";"1/12/18";"3/12/18";"Second Class"
"CA-2018-163139";"1/12/18";"3/12/18";"Second Class"
"US-2018-155299";"8/6/18";"12/6/18";"Standard Class"
"US-2015-106992";"19/09/2015";"21/09/2015";"Second Class"
"US-2015-106992";"19/09/2015";"21/09/2015";"Second Class"
"CA-2017-125318";"6/6/17";"13/06/2017";"Standard Class"
"CA-2016-155040";"10/11/16";"15/11/2016";"Standard Class"
"CA-2018-136826";"16/06/2018";"20/06/2018";"Standard Class"
"CA-2017-111010";"22/01/2017";"28/01/2017";"Standard Class"
"US-2018-145366";"9/12/18";"13/12/2018";"Standard Class"
"US-2018-145366";"9/12/18";"13/12/2018";"Standard Class"
"CA-2018-163979";"28/12/2018";"2/1/19";"Second Class"
"CA-2016-155334";"30/07/2016";"31/07/2016";"First Class"
"CA-2016-155334";"30/07/2016";"31/07/2016";"First Class"
"CA-2016-155334";"30/07/2016";"31/07/2016";"First Class"
"CA-2018-118136";"16/09/2018";"17/09/2018";"First Class"
"CA-2018-118136";"16/09/2018";"17/09/2018";"First Class"
"CA-2018-132976";"13/10/2018";"17/10/2018";"Standard Class"
"CA-2018-132976";"13/10/2018";"17/10/2018";"Standard Class"
"CA-2018-132976";"13/10/2018";"17/10/2018";"Standard Class"
"CA-2018-132976";"13/10/2018";"17/10/2018";"Standard Class"
"US-2016-161991";"26/09/2016";"28/09/2016";"Second Class"
"US-2016-161991";"26/09/2016";"28/09/2016";"Second Class"
"CA-2016-130890";"2/11/16";"6/11/16";"Standard Class"
"CA-2016-130883";"26/09/2016";"2/10/16";"Standard Class"
"CA-2016-130883";"26/09/2016";"2/10/16";"Standard Class"
"CA-2016-130883";"26/09/2016";"2/10/16";"Standard Class"
"CA-2017-112697";"18/12/2017";"20/12/2017";"Second Class"
"CA-2017-112697";"18/12/2017";"20/12/2017";"Second Class"
"CA-2017-112697";"18/12/2017";"20/12/2017";"Second Class"
"CA-2017-110772";"20/11/2017";"24/11/2017";"Second Class"
"CA-2017-110772";"20/11/2017";"24/11/2017";"Second Class"
"CA-2017-110772";"20/11/2017";"24/11/2017";"Second Class"
"CA-2017-110772";"20/11/2017";"24/11/2017";"Second Class"
"CA-2015-111451";"26/12/2015";"28/12/2015";"First Class"
"CA-2015-111451";"26/12/2015";"28/12/2015";"First Class"
"CA-2015-111451";"26/12/2015";"28/12/2015";"First Class"
"CA-2015-111451";"26/12/2015";"28/12/2015";"First Class"
"CA-2015-111451";"26/12/2015";"28/12/2015";"First Class"
"CA-2017-142545";"28/10/2017";"3/11/17";"Standard Class"
"CA-2017-142545";"28/10/2017";"3/11/17";"Standard Class"
"CA-2017-142545";"28/10/2017";"3/11/17";"Standard Class"
"CA-2017-142545";"28/10/2017";"3/11/17";"Standard Class"
"CA-2017-142545";"28/10/2017";"3/11/17";"Standard Class"
"US-2018-152380";"19/11/2018";"23/11/2018";"Standard Class"
"CA-2016-144253";"4/5/16";"9/5/16";"Second Class"
"CA-2015-130960";"30/12/2015";"4/1/16";"Standard Class"
"CA-2015-111003";"1/6/15";"6/6/15";"Standard Class"
"CA-2015-111003";"1/6/15";"6/6/15";"Standard Class"
"CA-2018-126774";"15/04/2018";"17/04/2018";"First Class"
"CA-2017-142902";"12/9/17";"14/09/2017";"Second Class"
"CA-2017-142902";"12/9/17";"14/09/2017";"Second Class"
"CA-2017-142902";"12/9/17";"14/09/2017";"Second Class"
"CA-2017-142902";"12/9/17";"14/09/2017";"Second Class"
"CA-2015-120887";"27/09/2015";"3/10/15";"Standard Class"
"CA-2015-167850";"9/8/15";"16/08/2015";"Standard Class"
"CA-2015-167850";"9/8/15";"16/08/2015";"Standard Class"
"CA-2015-164259";"28/12/2015";"30/12/2015";"First Class"
"CA-2015-164973";"4/11/15";"9/11/15";"Standard Class"
"CA-2015-164973";"4/11/15";"9/11/15";"Standard Class"
"CA-2015-164973";"4/11/15";"9/11/15";"Standard Class"
"CA-2015-164973";"4/11/15";"9/11/15";"Standard Class"
"CA-2015-164973";"4/11/15";"9/11/15";"Standard Class"
"CA-2015-156601";"19/09/2015";"24/09/2015";"Standard Class"
"CA-2017-162138";"23/04/2017";"27/04/2017";"Standard Class"
"CA-2017-162138";"23/04/2017";"27/04/2017";"Standard Class"
"CA-2018-153339";"3/11/18";"5/11/18";"Second Class"
"US-2017-141544";"30/08/2017";"1/9/17";"First Class"
"US-2017-141544";"30/08/2017";"1/9/17";"First Class"
"US-2017-141544";"30/08/2017";"1/9/17";"First Class"
"US-2017-141544";"30/08/2017";"1/9/17";"First Class"
"US-2017-141544";"30/08/2017";"1/9/17";"First Class"
"US-2017-150147";"25/04/2017";"29/04/2017";"Second Class"
"US-2017-150147";"25/04/2017";"29/04/2017";"Second Class"
"US-2017-150147";"25/04/2017";"29/04/2017";"Second Class"
"CA-2016-137946";"1/9/16";"4/9/16";"Second Class"
"CA-2016-137946";"1/9/16";"4/9/16";"Second Class"
"CA-2016-137946";"1/9/16";"4/9/16";"Second Class"
"CA-2015-129924";"12/7/15";"17/07/2015";"Standard Class"
"CA-2015-129924";"12/7/15";"17/07/2015";"Standard Class"
"CA-2016-128167";"22/06/2016";"26/06/2016";"Second Class"
"CA-2015-122336";"13/04/2015";"17/04/2015";"Second Class"
"CA-2015-122336";"13/04/2015";"17/04/2015";"Second Class"
"CA-2015-122336";"13/04/2015";"17/04/2015";"Second Class"
"CA-2015-122336";"13/04/2015";"17/04/2015";"Second Class"
"US-2016-120712";"20/12/2016";"24/12/2016";"Standard Class"
"CA-2018-169901";"15/06/2018";"19/06/2018";"Standard Class"
"CA-2018-134306";"8/7/18";"12/7/18";"Standard Class"
"CA-2018-134306";"8/7/18";"12/7/18";"Standard Class"
"CA-2018-134306";"8/7/18";"12/7/18";"Standard Class"
"CA-2017-129714";"1/9/17";"3/9/17";"First Class"
"CA-2017-129714";"1/9/17";"3/9/17";"First Class"
"CA-2017-129714";"1/9/17";"3/9/17";"First Class"
"CA-2017-129714";"1/9/17";"3/9/17";"First Class"
"CA-2017-129714";"1/9/17";"3/9/17";"First Class"
"CA-2017-138520";"8/4/17";"13/04/2017";"Standard Class"
"CA-2017-138520";"8/4/17";"13/04/2017";"Standard Class"
"CA-2017-138520";"8/4/17";"13/04/2017";"Standard Class"
"CA-2017-138520";"8/4/17";"13/04/2017";"Standard Class"
"CA-2017-130001";"23/04/2017";"28/04/2017";"Standard Class"
"CA-2018-155698";"8/3/18";"11/3/18";"First Class"
"CA-2018-155698";"8/3/18";"11/3/18";"First Class"
"CA-2018-144904";"25/09/2018";"1/10/18";"Standard Class"
"CA-2018-144904";"25/09/2018";"1/10/18";"Standard Class"
"CA-2018-144904";"25/09/2018";"1/10/18";"Standard Class"
"CA-2018-144904";"25/09/2018";"1/10/18";"Standard Class"
"CA-2015-123344";"24/09/2015";"29/09/2015";"Standard Class"
"CA-2017-155516";"21/10/2017";"21/10/2017";"Same Day"
"CA-2017-155516";"21/10/2017";"21/10/2017";"Same Day"
"CA-2017-155516";"21/10/2017";"21/10/2017";"Same Day"
"CA-2017-155516";"21/10/2017";"21/10/2017";"Same Day"
"CA-2018-104745";"29/05/2018";"4/6/18";"Standard Class"
"CA-2018-104745";"29/05/2018";"4/6/18";"Standard Class"
"US-2015-119137";"23/07/2015";"27/07/2015";"Standard Class"
"US-2015-119137";"23/07/2015";"27/07/2015";"Standard Class"
"US-2015-119137";"23/07/2015";"27/07/2015";"Standard Class"
"US-2015-119137";"23/07/2015";"27/07/2015";"Standard Class"
"US-2017-134656";"28/09/2017";"1/10/17";"First Class"
"US-2018-134481";"27/08/2018";"1/9/18";"Standard Class"
"CA-2016-130792";"28/04/2016";"5/5/16";"Standard Class"
"CA-2016-130792";"28/04/2016";"5/5/16";"Standard Class"
"CA-2016-130792";"28/04/2016";"5/5/16";"Standard Class"
"CA-2017-134775";"28/10/2017";"29/10/2017";"First Class"
"CA-2017-134775";"28/10/2017";"29/10/2017";"First Class"
"CA-2016-125395";"26/06/2016";"29/06/2016";"Second Class"
"US-2016-168935";"27/11/2016";"2/12/16";"Standard Class"
"US-2016-168935";"27/11/2016";"2/12/16";"Standard Class"
"CA-2016-122756";"3/12/16";"7/12/16";"Standard Class"
"CA-2016-122756";"3/12/16";"7/12/16";"Standard Class"
"CA-2015-115973";"24/11/2015";"26/11/2015";"First Class"
"CA-2018-101798";"11/12/18";"15/12/2018";"Standard Class"
"CA-2018-101798";"11/12/18";"15/12/2018";"Standard Class"
"US-2015-135972";"21/09/2015";"23/09/2015";"Second Class"
"US-2015-135972";"21/09/2015";"23/09/2015";"Second Class"
"US-2015-134971";"7/6/15";"10/6/15";"Second Class"
"CA-2018-102946";"30/06/2018";"5/7/18";"Standard Class"
"CA-2018-165603";"17/10/2018";"19/10/2018";"Second Class"
"CA-2018-165603";"17/10/2018";"19/10/2018";"Second Class"
"CA-2016-122259";"31/10/2016";"4/11/16";"Standard Class"
"CA-2017-108987";"8/9/17";"10/9/17";"Second Class"
"CA-2017-108987";"8/9/17";"10/9/17";"Second Class"
"CA-2017-108987";"8/9/17";"10/9/17";"Second Class"
"CA-2017-108987";"8/9/17";"10/9/17";"Second Class"
"CA-2015-113166";"24/12/2015";"26/12/2015";"First Class"
"CA-2015-155208";"16/04/2015";"20/04/2015";"Standard Class"
"CA-2018-117933";"24/12/2018";"29/12/2018";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-117457";"8/12/18";"12/12/18";"Standard Class"
"CA-2018-142636";"3/11/18";"7/11/18";"Standard Class"
"CA-2018-142636";"3/11/18";"7/11/18";"Standard Class"
"CA-2018-122105";"24/06/2018";"28/06/2018";"Standard Class"
"CA-2017-148796";"14/04/2017";"18/04/2017";"Standard Class"
"CA-2018-154816";"6/11/18";"10/11/18";"Standard Class"
"CA-2018-110478";"4/3/18";"9/3/18";"Standard Class"
"CA-2018-110478";"4/3/18";"9/3/18";"Standard Class"
"CA-2015-142048";"22/06/2015";"25/06/2015";"First Class"
"CA-2018-125388";"19/10/2018";"23/10/2018";"Standard Class"
"CA-2018-125388";"19/10/2018";"23/10/2018";"Standard Class"
"CA-2018-155705";"21/08/2018";"23/08/2018";"Second Class"
"CA-2018-149160";"23/11/2018";"26/11/2018";"Second Class"
"CA-2018-149160";"23/11/2018";"26/11/2018";"Second Class"
"CA-2015-101476";"12/9/15";"13/09/2015";"First Class"
"CA-2018-152275";"1/10/18";"8/10/18";"Standard Class"
"US-2017-123750";"15/04/2017";"21/04/2017";"Standard Class"
"US-2017-123750";"15/04/2017";"21/04/2017";"Standard Class"
